Kod;Nazwa;Udzielone_Noclegi;Prognoza
3211000;Powiat policki;64782.0;65311.23333333333
3212000;Powiat pyrzycki;8687.0;4404.82
3213000;Powiat sławieński;1460861.0;1453604.76
3214000;Powiat stargardzki;100273.0;83008.00666666667
3215000;Powiat szczecinecki;65357.0;56016.13333333333
3216000;Powiat świdwiński;64452.0;69572.62
3217000;Powiat wałecki;111255.0;102703.31333333334
3218000;Powiat łobeski;13995.0;18160.97333333333
3261000;Powiat m. Koszalin;119850.0;119600.02
3262000;Powiat m. Szczecin;1070810.0;1082687.1133333333
3263000;Powiat m. Świnoujście;1958162.0;1994114.44
