"Kod";"Nazwa";"ogółem;obiekty ogółem lipiec;2013;[ob.]";"ogółem;obiekty ogółem lipiec;2014;[ob.]";"ogółem;obiekty ogółem lipiec;2015;[ob.]";"ogółem;obiekty ogółem lipiec;2016;[ob.]";"ogółem;obiekty ogółem lipiec;2017;[ob.]";"ogółem;obiekty ogółem lipiec;2018;[ob.]";"ogółem;obiekty ogółem lipiec;2019;[ob.]";"ogółem;obiekty ogółem lipiec;2020;[ob.]";"ogółem;obiekty ogółem lipiec;2021;[ob.]";"ogółem;obiekty ogółem lipiec;2022;[ob.]";"ogółem;obiekty ogółem lipiec;2023;[ob.]";"ogółem;obiekty ogółem lipiec;2024;[ob.]";"ogółem;miejsca noclegowe ogółem lipiec;2013;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2014;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2015;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2016;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2017;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2018;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2019;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2020;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2021;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2022;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2023;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2024;[msc.]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2013;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2014;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2015;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2016;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2017;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2018;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2019;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2020;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2021;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2022;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2023;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2024;[osoba]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2013;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2014;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2015;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2016;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2017;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2018;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2019;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2020;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2021;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2022;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2023;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2024;[-]";
0214000;"Powiat oleśnicki";6;6;7;7;8;10;11;10;10;9;9;13;389;389;404;477;575;642;689;605;678;647;625;897;20092;19803;19256;28648;41901;47052;47245;24607;24678;33474;37328;41746;29018;30209;30487;50727;65849;76159;73051;40455;43311;58661;66215;76575;
0215000;"Powiat oławski";10;10;10;10;10;11;11;11;11;10;9;12;348;356;367;392;470;474;483;477;492;465;431;620;22954;21622;21051;27583;30627;35168;31903;15237;17319;26892;31403;31829;45291;48714;43261;51156;60161;69727;59468;30383;36131;53178;64375;66593;
0216000;"Powiat polkowicki";9;7;7;6;7;6;6;5;5;4;5;5;441;402;396;360;392;352;297;242;272;321;324;266;19494;17538;17977;18068;0;0;0;0;0;0;0;0;52261;49129;42806;42650;0;0;0;0;0;0;0;0;
0217000;"Powiat strzeliński";4;4;4;3;3;3;3;2;2;3;3;1;173;173;178;98;98;103;94;83;79;90;90;60;5481;5408;4387;2578;2759;3057;2475;0;0;0;1054;0;9477;10975;9698;3915;4529;4544;3473;0;0;0;1609;0;
0218000;"Powiat średzki";6;6;5;6;6;5;3;3;3;3;3;4;256;258;218;258;212;204;84;84;77;189;99;122;15498;15971;6664;8366;9082;5159;3076;1617;1760;10177;5147;0;32661;30011;19774;23483;22928;15122;10401;4949;6068;22653;12853;0;
0219000;"Powiat świdnicki";20;20;21;21;26;27;25;25;27;25;25;30;1204;1210;1305;1348;1447;1462;1408;1386;1661;1546;1565;1673;43828;47379;52027;54976;57900;66977;60679;27459;37467;58837;64437;80846;96539;108057;127909;140330;141910;160304;156336;72609;102785;162395;170792;188808;
0220000;"Powiat trzebnicki";12;12;11;11;11;10;11;11;11;10;10;11;923;932;711;703;708;693;714;667;708;480;527;629;19019;19000;22862;23381;24795;25791;28814;11142;14828;24496;24623;30253;34646;38203;39874;39796;40779;42582;45378;22012;32543;40103;41398;50555;
0221000;"Powiat wałbrzyski";38;39;36;41;43;47;46;45;40;37;35;41;1619;1745;1533;1789;1897;2049;1940;1808;1338;1675;1636;1744;33889;42802;41386;55649;62715;65640;66800;34545;40482;58638;72411;72714;249535;270784;269026;294362;311408;305196;324507;150587;96417;135039;272582;279252;
0222000;"Powiat wołowski";7;6;4;3;3;3;3;2;2;2;3;6;415;255;133;134;134;130;104;90;82;81;151;163;5455;5180;3671;3720;3800;4042;3035;0;0;0;3145;3903;17286;13947;14041;14188;13986;15229;15543;0;0;0;10014;11255;
0223000;"Powiat wrocławski";16;15;16;20;21;23;23;22;23;20;21;23;867;893;1007;1266;1281;1037;1393;1353;1389;1358;1807;2019;23348;30043;39693;58964;74485;72448;79486;44590;49512;107558;149465;161179;41038;89655;87062;138081;155983;146969;151458;91692;102619;194649;261582;274271;
0224000;"Powiat ząbkowicki";13;13;12;14;13;17;15;14;15;14;16;22;626;538;529;668;657;748;691;618;640;592;655;1039;13076;14811;16018;20555;21218;27467;32129;18091;20742;28855;34170;47286;41651;41898;44892;58876;59864;77732;82545;50219;49901;68384;85187;101591;
0225000;"Powiat zgorzelecki";12;15;14;15;15;16;17;15;14;10;10;15;614;921;879;950;1001;1052;1165;1121;1001;798;865;1683;40245;55441;55556;67103;89744;99297;115041;52254;43508;67291;64841;70854;57027;76764;75244;93637;133316;142877;168553;92134;82014;109073;92577;114191;
0226000;"Powiat złotoryjski";7;5;5;5;6;7;7;7;7;4;5;12;256;225;225;222;247;359;362;284;284;181;201;424;14890;13644;12312;10171;13826;22811;18289;5180;6893;13252;18826;25607;19095;18497;18114;15998;21309;35122;34470;12531;17500;25913;34353;43679;
0261000;"Powiat m. Jelenia Góra";32;30;30;30;28;33;28;28;30;25;28;33;2327;2225;2265;2310;2346;2452;2166;2028;2141;1999;2693;4171;68075;68760;71090;90326;99099;104961;106914;49457;57862;88973;121744;135443;282509;305255;296851;350587;408487;416813;435692;216718;278399;414749;548605;620620;
0262000;"Powiat m. Legnica";10;10;9;10;10;11;11;11;11;12;12;13;1145;1135;1094;1107;1186;1069;1179;1166;1167;1221;1285;1383;54814;53653;54045;74779;81643;88037;79192;34406;42816;71868;91153;95918;102679;96743;93937;127910;148580;159283;153704;66653;88450;142055;170475;166882;
0264000;"Powiat m. Wrocław";73;76;77;83;82;93;102;98;95;95;92;110;9588;10395;11007;11083;12553;11910;14001;13207;13679;14508;14580;15899;792838;916706;1039959;1117770;1177440;1281556;1401007;595131;757954;1192944;1272227;1347083;1380840;1551056;1745937;1931210;1962928;2049338;2258982;998134;1381706;2150386;2224212;2326150;
0265000;"Powiat m. Wałbrzych od 2013";9;12;9;9;9;8;9;9;8;8;8;11;423;956;846;845;824;804;861;825;775;712;634;716;25614;51815;65926;60795;66496;65799;75758;37459;27901;50584;61188;59611;45263;89925;102996;106025;119921;118918;134975;76642;61021;102984;115033;108202;
0401000;"Powiat aleksandrowski";39;40;51;51;58;61;61;57;51;49;49;52;4959;4978;5446;5417;5979;6012;6087;5940;5710;5784;5820;6029;109138;112087;130679;148423;166403;168820;175954;85501;115550;158018;150602;158606;1270606;1289147;1352274;1374551;1442966;1485022;1493692;649281;845422;1343092;1404454;1387218;
0402000;"Powiat brodnicki";24;24;22;24;25;26;25;25;24;23;22;24;1803;1955;1918;1924;1983;1994;1917;1910;1761;1677;1754;2313;32896;36866;39643;43263;46411;47675;59354;36731;32126;40568;45976;48221;89189;83612;98197;115091;117387;121438;127580;90761;79203;90780;107150;119113;
0403000;"Powiat bydgoski";19;22;25;25;28;22;22;21;20;20;23;21;1222;1467;1550;1497;1828;1463;1488;1462;1454;1392;1478;1311;38408;36986;38841;43120;49995;50262;57545;35680;37253;51556;56754;58921;79291;77732;91524;97734;98694;107839;126373;82737;90601;116030;114937;107340;
0404000;"Powiat chełmiński";9;7;8;9;9;10;10;8;7;8;7;6;253;183;228;244;232;250;244;179;130;179;163;156;7040;6622;7806;8168;7305;9812;9053;3755;0;8389;8065;4978;14132;12773;17472;15883;18223;22985;19561;9846;0;16521;13391;9650;
0405000;"Powiat golubsko-dobrzyński";6;6;7;7;7;7;7;7;6;6;8;10;245;270;310;310;306;306;306;305;290;290;343;403;14857;24003;24082;22447;27466;29011;29990;17263;22878;35764;35808;34117;21621;32385;33869;32308;40725;39470;40272;27183;32512;49901;48963;49138;
0406000;"Powiat grudziądzki";4;5;7;6;6;7;7;6;5;5;5;5;258;297;428;358;356;363;366;349;331;331;301;378;823;2007;0;0;6523;8045;5990;4516;6100;6639;6799;5700;4091;5221;0;0;10252;14403;9145;6810;10899;11029;11089;7654;
0407000;"Powiat inowrocławski";20;21;25;24;25;28;27;26;26;27;27;30;2142;2262;2357;2490;2461;2569;2562;2583;2706;2621;2636;3006;56603;52646;61324;65210;61050;72868;74421;46268;57310;75997;77103;79511;538573;563170;596512;622651;600437;653362;661578;365269;480169;652337;679960;706298;
0408000;"Powiat lipnowski";8;6;6;6;7;9;9;9;8;8;8;7;539;498;502;512;557;665;750;573;558;529;399;308;6017;5680;4091;4679;9440;15306;20709;0;12476;0;13939;8061;15233;9934;7330;7444;15404;25625;30877;0;28355;0;23303;13307;
0409000;"Powiat mogileński";10;9;10;9;9;8;8;7;6;8;8;8;736;638;679;535;505;389;399;359;257;398;398;398;8956;8576;8666;9108;7934;5470;6167;3484;2643;6446;8468;8333;27373;22048;29703;24809;20901;16413;17458;7911;11955;19327;21144;20249;
0410000;"Powiat nakielski";4;5;11;12;10;10;10;9;10;10;10;10;87;101;224;407;351;332;263;272;301;300;317;316;6474;5669;6995;8128;7278;8077;13576;8675;12852;16577;16941;15665;9195;6840;12873;18111;20445;13437;23486;15184;24158;30933;32390;29729;
0411000;"Powiat radziejowski";7;4;5;5;5;4;4;2;3;1;5;7;120;84;111;111;127;103;103;73;87;38;193;238;891;831;3055;2182;2443;2422;1918;0;1057;0;3894;6626;4698;3039;4835;6082;5457;6904;5227;0;3350;0;7998;13788;
0412000;"Powiat rypiński";3;2;2;2;3;2;2;2;2;3;3;3;246;238;238;238;280;65;65;65;65;81;93;94;2413;2199;0;0;3980;0;0;0;0;8174;4976;4204;12023;5351;0;0;6431;0;0;0;0;13677;7112;6376;
0413000;"Powiat sępoleński";10;10;11;14;13;13;14;11;11;12;9;15;428;426;457;596;578;578;594;457;582;645;400;715;7193;10043;10678;11117;13674;10798;10571;4803;5213;8708;5350;11339;25685;29479;29020;34906;36689;33152;33505;25071;27408;36551;22603;39352;
0414000;"Powiat świecki";18;16;18;18;21;20;18;18;18;19;19;23;1129;983;1155;864;1039;896;817;850;850;869;743;958;35175;33165;34431;49651;56680;45349;47535;31949;37284;54059;45571;54467;61358;55682;59194;87401;100993;79943;81152;63221;70569;104684;81895;100749;
0415000;"Powiat toruński";14;15;15;19;16;17;18;16;15;16;18;20;611;714;716;986;940;1070;1090;1004;1023;1039;1068;1180;44389;49181;43817;60091;59171;59466;56345;27615;35664;57093;56358;54491;58778;66443;68096;95264;95668;96581;92732;47207;61965;93467;93970;96416;
0416000;"Powiat tucholski";21;20;20;15;14;17;19;16;15;13;13;14;1888;1793;1667;1233;957;1187;1381;1166;1116;1025;1030;1113;23115;25003;25791;23892;24017;22949;25925;12256;16921;20654;26028;28044;76159;65547;59750;63949;62307;64060;86376;47327;69857;85776;96390;90530;
0417000;"Powiat wąbrzeski";6;6;5;6;6;6;5;5;5;6;6;6;310;310;285;326;347;347;381;391;392;422;417;414;3092;2427;2152;3966;4755;0;0;0;4959;9471;7289;7967;8472;7924;5738;7977;9351;0;0;0;9127;16457;12112;13745;
0418000;"Powiat włocławski";9;9;9;10;6;7;8;9;8;8;8;8;485;463;436;498;1348;1411;1511;1572;1500;1397;1573;1523;12000;12955;11831;14121;19258;29784;38340;18279;25626;35531;38465;36684;92453;88402;81004;84464;269808;353426;372365;174512;280699;375146;392652;407790;
0419000;"Powiat żniński";19;19;18;20;23;23;21;20;21;20;18;19;1475;1438;1492;1936;2208;2276;1860;2095;2825;2425;1949;2065;23777;24482;37250;44073;65836;61009;56849;27773;54002;99338;96148;100985;52558;62729;80192;122679;146481;128668;136833;83923;139417;219085;196602;204712;
0461000;"Powiat m. Bydgoszcz";25;28;29;39;38;40;39;31;31;38;40;37;2965;2916;3005;3260;3403;3571;3757;2897;3289;3686;4077;3954;125027;144756;175312;191448;204011;213404;218261;111582;151707;252645;281525;291944;238275;274287;371226;400869;452430;459804;478737;252279;331505;501388;548134;543079;
0462000;"Powiat m. Grudziądz";11;12;12;12;13;13;13;10;11;11;11;11;910;1083;1044;1180;1369;1367;1372;1104;1245;1254;1111;1125;31270;33492;35898;42722;46525;55807;58296;32005;39409;52711;54205;54151;52211;64820;66678;78646;86007;103550;112035;72682;84207;103370;108356;107981;
0463000;"Powiat m. Toruń";36;34;40;46;50;50;48;47;48;50;50;50;2968;3168;3532;4080;4305;4180;3823;3758;4041;4008;4094;4161;247821;269787;308681;346789;363143;360701;341577;167936;208538;313185;334557;358637;360150;407547;474275;533160;542567;538386;531836;274306;349282;513784;556288;568025;
0464000;"Powiat m. Włocławek";9;11;11;13;14;14;12;12;10;11;13;15;539;642;735;839;863;865;740;690;594;618;669;742;29312;29907;36280;39310;40684;42315;40572;18042;21677;40313;42776;45560;55134;56521;63615;67521;71787;76699;72331;36932;39591;79552;82949;83230;
0601000;"Powiat bialski";25;25;25;27;26;27;24;18;19;21;22;25;1015;986;1003;1541;1570;1502;1592;1391;1458;1638;1577;1682;52588;49808;48963;68600;97489;87668;103119;49489;61164;98850;113106;92713;63729;60038;61793;89289;127916;124271;142046;85688;102961;152072;160056;146790;
0602000;"Powiat biłgorajski";13;11;11;13;14;14;14;14;14;16;17;17;412;382;363;440;482;483;468;457;466;503;500;557;7103;5558;6223;8268;9747;9024;9762;5753;6137;9463;10412;11247;18461;14387;17377;19553;24088;23155;23927;12202;13439;18169;22117;24622;
0603000;"Powiat chełmski";6;6;6;7;6;6;5;3;3;2;6;7;388;375;398;458;429;489;475;263;183;160;292;298;8915;8336;7329;7382;5837;719;2879;1629;1430;0;8643;7439;9638;9107;7932;7961;6768;1259;3428;2144;1740;0;12507;14063;
0604000;"Powiat hrubieszowski";5;7;7;7;7;9;9;8;8;7;7;8;161;260;254;249;269;350;283;266;269;228;270;292;3725;5464;6185;6932;8564;13390;14326;7808;8752;14992;21230;20988;5394;7624;8277;13045;13135;19687;20403;11578;14115;24329;31987;31079;
0605000;"Powiat janowski";5;9;9;9;10;10;12;9;11;11;11;9;394;699;730;613;743;552;678;467;574;574;598;500;18485;19907;26217;26180;24037;25902;28233;11023;16712;18808;21330;18735;39078;39605;49163;55400;52850;52305;54431;24879;41736;35162;37583;34418;
0606000;"Powiat krasnostawski";5;5;6;7;7;7;7;6;6;6;6;6;147;143;147;268;403;383;383;263;255;268;258;244;7474;9206;6161;7600;10475;10864;12179;5576;6160;0;9964;9810;13448;13714;8431;11365;18749;16366;17285;10172;10419;0;15182;14813;
0607000;"Powiat kraśnicki";2;2;3;2;3;4;4;3;4;3;2;2;50;52;93;81;92;116;116;113;116;121;97;98;4572;1796;5765;0;5169;5944;6808;4970;4553;5658;0;0;4792;2400;7461;0;6356;7568;9523;8368;8180;9133;0;0;
0608000;"Powiat lubartowski";17;16;16;17;18;18;18;16;18;18;16;18;1172;1162;1392;1135;1086;962;1254;991;920;912;805;800;10066;11356;12105;15645;13449;12311;14241;8987;8826;11752;14775;13599;36408;36731;43000;51242;39284;37791;43012;28633;30020;32185;36496;31778;
0609000;"Powiat lubelski";17;16;19;22;24;25;25;24;24;22;22;25;564;543;613;808;972;1056;1089;1004;1023;1032;1078;1162;37282;29983;30886;38188;50803;59362;58922;24680;28345;60836;63231;69360;48583;38592;41663;53415;73103;86321;91845;40997;46856;96398;95441;102341;
0610000;"Powiat łęczyński";5;6;7;10;11;11;9;6;5;7;7;8;271;297;437;483;565;626;598;320;321;363;395;356;1552;1619;3124;7861;9763;10035;9255;4960;5445;8723;7565;2266;5474;4799;8949;14575;17714;20397;15987;15771;9335;15218;13185;5504;
0611000;"Powiat łukowski";5;7;5;5;4;4;5;4;4;4;4;8;228;297;185;188;137;155;194;162;160;149;159;293;9913;11754;8673;0;3144;2798;5511;5119;6110;7144;0;6785;16915;21227;13978;0;5455;4750;8413;7961;9505;11691;0;10918;
0612000;"Powiat opolski";5;7;7;8;9;8;8;7;9;10;10;12;186;251;251;275;347;331;339;313;334;389;385;433;6394;6983;6176;6869;15766;21523;22913;10256;17922;19977;21692;26321;12600;12494;9801;9963;22181;30938;32790;15930;27258;29291;30038;35427;
0613000;"Powiat parczewski";10;10;9;8;9;10;8;8;8;8;6;6;402;620;633;645;684;674;613;597;601;608;404;480;4844;5964;7972;9344;8898;10151;8474;5959;8765;12358;7353;7043;13931;17176;18834;25030;23526;29030;25328;21994;34928;37559;23177;23760;
0614000;"Powiat puławski";60;63;63;70;74;79;85;77;81;81;74;80;4465;4286;4269;4791;4954;4823;5170;4823;5007;4684;4710;5422;155347;169082;166595;187774;198324;197995;208818;114051;130333;168864;170740;190317;592552;607642;585231;638936;657902;680486;704650;376340;448957;617738;609378;627065;
0615000;"Powiat radzyński";4;5;5;5;5;6;6;5;7;6;7;8;73;102;102;102;100;120;120;103;133;127;132;150;3550;4328;4013;4095;3207;4069;3512;1744;2568;4326;3446;3246;4202;5034;4949;5093;3853;5396;4955;2857;4090;6443;5006;5103;
0616000;"Powiat rycki";4;5;5;4;3;3;4;5;5;5;4;4;116;170;171;151;140;90;174;245;188;208;173;173;6756;9013;9140;8542;7225;5952;6220;5225;5966;8424;6757;0;8088;12534;14110;16952;13446;9720;11592;12816;11270;15994;10036;0;
0617000;"Powiat świdnicki";4;5;5;7;7;7;7;7;7;6;5;5;149;227;287;385;344;347;351;351;342;278;232;235;7636;11091;10968;17434;19386;19805;19395;10512;12703;17636;16194;17353;15155;26241;20405;30248;32723;31832;30962;18121;18989;28406;27066;29251;
0618000;"Powiat tomaszowski";13;15;15;16;16;16;16;16;14;14;25;30;998;978;899;964;934;850;863;918;803;890;1097;1088;17664;23637;27936;30419;30359;28952;28893;22043;24964;42438;42919;43314;41880;48718;54093;61199;48329;57759;56142;36665;48802;72295;76282;78394;
0619000;"Powiat włodawski";43;38;37;46;48;51;51;44;48;48;49;46;2526;2649;2295;2852;2913;2990;3093;2828;2745;2628;2558;2505;33727;34714;32242;31052;28249;36321;33589;22904;30425;24043;21338;20640;81384;85481;102477;111407;106384;130268;114282;87854;111829;93924;80250;80091;
0620000;"Powiat zamojski";38;41;42;56;59;61;63;56;58;53;75;76;1717;1776;1835;2299;2407;2524;2583;2336;2468;2173;2837;3023;36205;37957;39881;50447;48186;56574;58524;32602;38799;51820;66428;70697;90541;90783;112296;153184;157529;177072;188863;114839;141971;168571;192849;200040;
0661000;"Powiat m. Biała Podlaska";6;9;9;13;12;12;12;11;11;10;11;11;475;327;635;636;770;784;773;463;457;415;483;493;30216;28710;29788;37660;37794;38956;37217;19142;21996;32325;37112;35972;37541;32630;33404;44801;48226;57192;55629;31285;37327;52353;57236;52707;
0662000;"Powiat m. Chełm";7;7;7;7;7;7;7;6;7;6;8;9;464;464;467;453;531;512;406;473;513;381;536;585;18670;17371;18008;17785;21127;21445;18625;9777;11725;28460;36322;34920;53867;36382;37157;37307;41182;40059;35069;24443;27660;49366;58427;64037;
0663000;"Powiat m. Lublin";29;32;34;39;47;55;55;55;54;54;54;57;2250;2568;2874;3244;3553;4163;4613;4707;4888;5006;4590;4672;193912;210892;221048;255823;306639;333803;364673;197454;248655;420673;409539;418030;295158;326421;347609;400243;499221;539465;573619;319902;413387;707230;671647;639993;
