"Kod";"Nazwa";"ogółem w ha;2013;[ha]";"ogółem w ha;2014;[ha]";"ogółem w ha;2015;[ha]";"ogółem w ha;2016;[ha]";"ogółem w ha;2017;[ha]";"ogółem w ha;2018;[ha]";"ogółem w ha;2019;[ha]";"ogółem w ha;2020;[ha]";"ogółem w ha;2021;[ha]";"ogółem w ha;2022;[ha]";"ogółem w ha;2023;[ha]";"ogółem w ha;2024;[ha]";
1218000;"Powiat wadowicki";64440;64440;64440;64440;64588;64588;64588;64588;64588;64595;64594;64594;
1219000;"Powiat wielicki";41078;41078;41078;41078;41078;41078;41078;41078;41078;41059;41059;41059;
1261000;"Powiat m. Kraków";32685;32685;32685;32685;32685;32685;32685;32685;32685;32685;32685;32685;
1262000;"Powiat m. Nowy Sącz";5758;5758;5758;5758;5758;5758;5758;5758;5758;5760;5760;5760;
1263000;"Powiat m. Tarnów";7238;7238;7238;7238;7238;7238;7238;7238;7238;7237;7237;7237;
1401000;"Powiat białobrzeski";63910;63910;63910;63910;63910;63910;63910;63910;63910;63911;63911;63911;
1402000;"Powiat ciechanowski";105980;105980;105980;105980;105980;105980;105980;105980;105980;105980;105980;105980;
1403000;"Powiat garwoliński";128483;128483;128483;128483;128483;128483;128483;128483;128483;128485;128485;128485;
1404000;"Powiat gostyniński";61481;61481;61481;61481;61481;61481;61481;61481;61481;61487;61487;61487;
1405000;"Powiat grodziski";36704;36704;36704;36704;36704;36704;36704;36704;36704;36700;36700;36700;
1406000;"Powiat grójecki";126773;126773;126773;126773;126773;126773;126773;126773;126773;126782;126782;126782;
1407000;"Powiat kozienicki";91610;91610;91610;91610;91610;91610;91610;91610;91610;91595;91595;91595;
1408000;"Powiat legionowski";39035;39076;39076;39076;39076;39076;39076;39076;39076;39079;39079;39079;
1409000;"Powiat lipski";74022;74022;74022;74022;74022;74022;74022;74022;74022;74061;74061;74061;
1410000;"Powiat łosicki";77245;77245;77245;77245;77245;77245;77245;77245;77245;77248;77248;77248;
1411000;"Powiat makowski";106467;106467;106467;106463;106463;106463;106463;106463;106463;106461;106461;106461;
1412000;"Powiat miński";116372;116372;116372;116372;116372;116372;116372;116372;116372;116360;116360;116360;
1413000;"Powiat mławski";118182;118182;118182;118182;118182;118182;118182;118182;118182;118183;118183;118183;
1414000;"Powiat nowodworski";69479;69479;69479;69479;69479;69479;69479;69479;69479;69479;69479;69479;
1415000;"Powiat ostrołęcki";209838;209838;209838;209838;209838;209355;209355;209355;209355;209355;209355;209355;
1416000;"Powiat ostrowski";121779;121779;121779;121779;121779;121779;121779;121779;121779;121772;121772;121772;
1417000;"Powiat otwocki";61592;61592;61592;61592;61592;61592;61592;61592;61592;61592;61592;61592;
1418000;"Powiat piaseczyński";62100;62100;62100;62100;62100;62100;62100;62100;62100;62099;62099;62099;
1419000;"Powiat płocki";179663;179663;179663;179663;179663;179663;179663;179663;179663;179665;179665;179665;
1420000;"Powiat płoński";137979;137979;137979;137979;137979;137979;137979;137979;137979;137980;137980;137980;
1421000;"Powiat pruszkowski";24630;24630;24630;24630;24630;24630;24630;24630;24630;24637;24637;24637;
1422000;"Powiat przasnyski";121858;121858;121858;121862;121862;121862;121862;121862;121862;121874;121865;121865;
1423000;"Powiat przysuski";80119;80119;80119;80119;80119;80119;80119;80119;80119;80151;80151;80151;
1424000;"Powiat pułtuski";82742;82742;82742;82742;82742;82742;82742;82742;82742;82723;82723;82723;
1425000;"Powiat radomski";152978;152978;152978;152978;152978;152978;152978;152978;152978;152974;152974;152974;
1426000;"Powiat siedlecki";160348;160348;160348;160348;160348;160348;160348;160348;160348;160348;160348;160348;
1427000;"Powiat sierpecki";85204;85204;85204;85204;85204;85204;85204;85204;85204;85203;85203;85203;
1428000;"Powiat sochaczewski";73480;73480;73480;73480;73480;73480;73480;73480;73480;73482;73481;73481;
1429000;"Powiat sokołowski";113117;113117;113117;113117;113117;113117;113117;113117;113117;113120;113120;113120;
1430000;"Powiat szydłowiecki";45181;45181;45181;45181;45181;45181;45181;45181;45181;45158;45158;45158;
