"Kod";"Nazwa";"ogółem w ha;2013;[ha]";"ogółem w ha;2014;[ha]";"ogółem w ha;2015;[ha]";"ogółem w ha;2016;[ha]";"ogółem w ha;2017;[ha]";"ogółem w ha;2018;[ha]";"ogółem w ha;2019;[ha]";"ogółem w ha;2020;[ha]";"ogółem w ha;2021;[ha]";"ogółem w ha;2022;[ha]";"ogółem w ha;2023;[ha]";"ogółem w ha;2024;[ha]";
2263000;"Powiat m. Słupsk";4315;4315;4315;4315;4315;4315;4315;4315;4315;4315;5277;5274;
2264000;"Powiat m. Sopot";1728;1728;1728;1728;1728;1728;1728;1728;1728;1736;2776;2776;
2401000;"Powiat będziński";36413;36413;36413;36413;36413;36413;36413;36413;36413;36430;36430;36430;
2402000;"Powiat bielski";45864;45864;45864;45864;45864;45864;45864;45864;45864;45804;45806;45806;
2403000;"Powiat cieszyński";73029;73029;73029;73029;73029;73029;73029;73029;73029;73028;73027;73027;
2404000;"Powiat częstochowski";152205;152205;152205;152205;152205;152205;152205;152205;152205;152187;152184;152184;
2405000;"Powiat gliwicki";66437;66437;66437;66437;66437;66437;66437;66437;66437;66471;66474;66474;
2406000;"Powiat kłobucki";88859;88859;88859;88859;88859;88859;88859;88859;88859;88860;88860;88860;
2407000;"Powiat lubliniecki";82225;82225;82225;82225;82225;82225;82225;82225;82225;82215;82215;82215;
2408000;"Powiat mikołowski";23314;23314;23314;23310;23310;23310;23310;23310;23310;23284;23284;23284;
2409000;"Powiat myszkowski";47925;47925;47925;47925;47925;47925;47925;47925;47925;47928;47930;47930;
2410000;"Powiat pszczyński";47112;47112;47112;47116;47116;47116;47116;47116;47116;47142;47142;47142;
2411000;"Powiat raciborski";54376;54376;54376;54376;54376;54376;54376;54376;54376;54370;54373;54373;
2412000;"Powiat rybnicki";22364;22364;22364;22364;22364;22364;22364;22364;22364;22367;22362;22362;
2413000;"Powiat tarnogórski";64419;64419;64419;64419;64419;64419;64419;64419;64419;64420;64420;64420;
2414000;"Powiat bieruńsko-lędziński";15815;15815;15815;15815;15815;15815;15815;15815;15815;15814;15814;15814;
2415000;"Powiat wodzisławski";28675;28675;28675;28675;28675;28675;28675;28675;28675;28680;28681;28683;
2416000;"Powiat zawierciański";100223;100223;100223;100223;100223;100223;100223;100223;100223;100366;100366;100366;
2417000;"Powiat żywiecki";104006;104006;104006;104006;104006;104006;104006;104006;104006;104006;104004;104004;
2461000;"Powiat m. Bielsko-Biała";12451;12451;12451;12451;12451;12451;12451;12451;12451;12445;12445;12445;
2462000;"Powiat m. Bytom";6944;6944;6944;6944;6944;6944;6944;6944;6944;6948;6948;6948;
2463000;"Powiat m. Chorzów";3324;3324;3324;3324;3324;3324;3324;3324;3324;3332;3332;3332;
2464000;"Powiat m. Częstochowa";15971;15971;15971;15971;15971;15971;15971;15971;15971;15972;15972;15972;
2465000;"Powiat m. Dąbrowa Górnicza";18873;18873;18873;18873;18873;18873;18873;18873;18873;18873;18873;18873;
2466000;"Powiat m. Gliwice";13388;13388;13388;13388;13388;13388;13388;13388;13388;13388;13388;13388;
2467000;"Powiat m. Jastrzębie-Zdrój";8533;8533;8533;8533;8533;8533;8533;8533;8533;8534;8534;8534;
2468000;"Powiat m. Jaworzno";15259;15259;15259;15259;15259;15259;15259;15259;15259;15241;15241;15242;
2469000;"Powiat m. Katowice";16464;16464;16464;16464;16464;16464;16464;16464;16464;16473;16473;16473;
2470000;"Powiat m. Mysłowice";6562;6562;6562;6562;6562;6562;6562;6562;6562;6567;6567;6566;
2471000;"Powiat m. Piekary Śląskie";3998;3998;3998;3998;3998;3998;3998;3998;3998;3986;3986;3986;
2472000;"Powiat m. Ruda Śląska";7773;7773;7773;7773;7773;7773;7773;7773;7773;7764;7764;7764;
2473000;"Powiat m. Rybnik";14836;14836;14836;14836;14836;14836;14836;14836;14836;14828;14828;14827;
2474000;"Powiat m. Siemianowice Śląskie";2550;2550;2550;2550;2550;2550;2550;2550;2550;2551;2551;2551;
2475000;"Powiat m. Sosnowiec";9106;9106;9106;9106;9106;9106;9106;9106;9106;9116;9116;9116;
2476000;"Powiat m. Świętochłowice";1331;1331;1331;1331;1331;1331;1331;1331;1331;1330;1330;1330;
2477000;"Powiat m. Tychy";8181;8181;8181;8181;8181;8181;8181;8181;8181;8181;8181;8181;
2478000;"Powiat m. Zabrze";8040;8040;8040;8040;8040;8040;8040;8040;8040;8042;8042;8042;
2479000;"Powiat m. Żory";6464;6464;6464;6464;6464;6464;6464;6464;6464;6464;6464;6463;
2601000;"Powiat buski";96800;96800;96800;96800;96800;96800;96800;96800;96800;96790;96790;96790;
2602000;"Powiat jędrzejowski";125696;125696;125696;125696;125696;125696;125696;125696;125696;125683;125680;125680;
2603000;"Powiat kazimierski";42218;42218;42218;42218;42218;42218;42218;42218;42218;42216;42216;42216;
2604000;"Powiat kielecki";224607;224607;224607;224607;224607;224607;224607;224607;224607;224597;224597;224597;
2605000;"Powiat konecki";113972;113972;113972;113972;113972;113972;113972;113972;113972;113968;113968;113968;
2606000;"Powiat opatowski";91090;91090;91090;91090;91090;91090;91090;91090;91090;91091;91091;91091;
2607000;"Powiat ostrowiecki";61678;61678;61678;61678;61678;61678;61678;61678;61678;61671;61671;61671;
2608000;"Powiat pińczowski";61285;61285;61285;61285;61285;61285;61285;61285;61285;61288;61290;61290;
2609000;"Powiat sandomierski";67589;67589;67589;67589;67589;67589;67589;67589;67589;67588;67588;67588;
2610000;"Powiat skarżyski";39543;39543;39543;39543;39543;39543;39543;39543;39543;39541;39541;39541;
2611000;"Powiat starachowicki";52341;52341;52341;52341;52341;52341;52341;52341;52341;52341;52341;52341;
2612000;"Powiat staszowski";92480;92480;92480;92480;92480;92480;92480;92480;92480;92501;92502;92502;
2613000;"Powiat włoszczowski";90786;90786;90786;90786;90786;90786;90786;90786;90786;90638;90638;90638;
2661000;"Powiat m. Kielce";10965;10965;10965;10965;10965;10965;10965;10965;10965;10965;10965;10965;
2801000;"Powiat bartoszycki";130749;130749;130749;130749;130749;130749;130749;130749;130749;130748;130748;130748;
2802000;"Powiat braniewski";120165;120165;120165;120165;120165;120165;120165;120165;120165;120419;120419;120419;
2803000;"Powiat działdowski";95393;95393;95393;95393;95393;95393;95393;95393;95393;95391;95391;95391;
2804000;"Powiat elbląski";141558;141558;141558;141558;141558;141558;141558;141558;141558;141301;141301;141301;
2805000;"Powiat ełcki";111279;111279;111279;111279;111279;111279;111279;111279;111279;111293;111293;111293;
2806000;"Powiat giżycki";111951;111951;111951;111951;111951;111951;111951;111951;111951;111952;111952;111952;
2807000;"Powiat iławski";138522;138522;138522;138522;138522;138522;138522;138522;138522;138518;138518;138518;
2808000;"Powiat kętrzyński";121299;121299;121299;121299;121299;121299;121299;121299;121299;121300;121300;121300;
2809000;"Powiat lidzbarski";92500;92500;92500;92500;92500;92500;92500;92500;92500;92499;92499;92499;
2810000;"Powiat mrągowski";106538;106538;106538;106538;106538;106538;106538;106538;106538;106467;106467;106467;
2811000;"Powiat nidzicki";96064;96064;96064;96064;96064;96064;96064;96064;96064;96065;96065;96065;
2812000;"Powiat nowomiejski";69393;69393;69393;69393;69393;69393;69393;69393;69393;69373;69373;69373;
2813000;"Powiat olecki";87400;87400;87400;87400;87360;87360;87360;87360;87360;87357;87357;87357;
2814000;"Powiat olsztyński";283802;283802;283802;283802;283802;283802;283802;283802;283802;283807;283807;283807;
2815000;"Powiat ostródzki";176629;176629;176629;176629;176629;176629;176629;176629;176629;176658;176658;176658;
2816000;"Powiat piski";177458;177458;177458;177458;177458;177458;177458;177458;177458;177532;177532;177532;
2817000;"Powiat szczycieński";193321;193321;193321;193321;193321;193321;193321;193321;193321;193315;193324;193324;
2818000;"Powiat gołdapski";77189;77189;77189;77189;77229;77229;77229;77229;77229;77233;77233;77233;
2819000;"Powiat węgorzewski";69322;69322;69322;69322;69322;69322;69322;69322;69322;69320;69320;69320;
2861000;"Powiat m. Elbląg";7982;7982;7982;7982;7982;7982;7982;7982;7982;7982;7982;7982;
2862000;"Powiat m. Olsztyn";8833;8833;8833;8833;8833;8833;8833;8833;8833;8832;8832;8832;
3001000;"Powiat chodzieski";68506;68506;68506;68506;68506;68506;68506;68506;68506;68507;68507;68507;
3002000;"Powiat czarnkowsko-trzcianecki";180605;180605;180605;180605;180605;180605;180605;180605;180605;180777;180777;180777;
3003000;"Powiat gnieźnieński";125503;125503;125503;125503;125503;125503;125503;125503;125503;125495;125495;125495;
3004000;"Powiat gostyński";81025;81025;81025;81025;81025;81025;81025;81025;81025;81029;81029;81029;
3005000;"Powiat grodziski";64187;64187;64187;64187;64187;64187;64187;64187;64187;64390;64390;64390;
3006000;"Powiat jarociński";58728;58729;58729;58729;58729;58729;58729;58729;58729;58848;58848;58848;
3007000;"Powiat kaliski";115999;115999;115999;115999;115999;115999;115999;115999;115999;116006;116006;116006;
3008000;"Powiat kępiński";60826;60826;60826;60826;60826;60826;60826;60826;60826;60833;60833;60833;
3009000;"Powiat kolski";101071;101071;101071;101071;101071;101071;101071;101071;101071;101069;101069;101069;
3010000;"Powiat koniński";157835;157835;157835;157835;157835;157839;157824;157824;157824;157821;157821;157821;
3011000;"Powiat kościański";72242;72242;72242;72242;72242;72242;72242;72242;72242;72240;72240;72240;
3012000;"Powiat krotoszyński";71368;71368;71368;71368;71368;71368;71368;71368;71368;71353;71353;71353;
3013000;"Powiat leszczyński";80581;80581;80581;80581;80581;80581;80581;80581;80581;80583;80583;80583;
3014000;"Powiat międzychodzki";73644;73644;73644;73644;73644;73644;73644;73644;73644;73644;73644;73644;
3015000;"Powiat nowotomyski";101362;101362;101362;101362;101362;101362;101362;101362;101362;101162;101162;101162;
3016000;"Powiat obornicki";71104;71104;71104;71104;71104;71104;71104;71104;71104;71104;71104;71104;
3017000;"Powiat ostrowski";116012;116012;116012;116012;116012;116012;116012;116012;116012;116007;116007;116007;
3018000;"Powiat ostrzeszowski";77263;77263;77263;77263;77263;77263;77263;77263;77263;77281;77281;77281;
3019000;"Powiat pilski";126821;126821;126821;126821;126821;126821;126821;126821;126821;126602;126602;126602;
3020000;"Powiat pleszewski";71307;71307;71307;71307;71307;71307;71307;71307;71307;71321;71321;71321;
3021000;"Powiat poznański";189988;189988;189988;189988;189988;189988;189988;189988;189988;189992;189992;189992;
3022000;"Powiat rawicki";55352;55352;55352;55352;55352;55352;55352;55352;55352;55345;55345;55345;
3023000;"Powiat słupecki";83801;83801;83801;83801;83801;83801;83801;83801;83801;83799;83799;83799;
3024000;"Powiat szamotulski";111929;111929;111929;111929;111929;111929;111929;111929;111929;111928;111928;111928;
3025000;"Powiat średzki";62387;62386;62386;62386;62386;62386;62386;62386;62386;62271;62271;62271;
3026000;"Powiat śremski";57410;57410;57410;57410;57410;57410;57410;57410;57410;57411;57411;57411;
3027000;"Powiat turecki";92943;92943;92943;92943;92943;92943;92943;92943;92943;92978;92978;92978;
3028000;"Powiat wągrowiecki";103965;103965;103965;103965;103965;103965;103965;103965;103965;103967;103967;103967;
3029000;"Powiat wolsztyński";67973;67973;67973;67973;67973;67973;67973;67973;67973;67964;67964;67964;
3030000;"Powiat wrzesiński";70357;70357;70357;70357;70357;70357;70357;70357;70357;70347;70347;70347;
3031000;"Powiat złotowski";166017;166017;166017;166017;166017;166017;166017;166017;166017;166056;166056;166056;
3061000;"Powiat m. Kalisz";6942;6942;6942;6942;6942;6942;6942;6942;6942;6938;6938;6938;
3062000;"Powiat m. Konin";8220;8220;8220;8220;8220;8216;8231;8231;8231;8230;8230;8230;
3063000;"Powiat m. Leszno";3186;3186;3186;3186;3186;3186;3186;3186;3186;3186;3186;3186;
3064000;"Powiat m. Poznań";26191;26191;26191;26191;26191;26191;26191;26191;26191;26191;26191;26191;
3201000;"Powiat białogardzki";84546;84546;84546;84546;84546;84546;84546;84546;84546;84546;84546;84546;
3202000;"Powiat choszczeński";132763;132763;132763;132763;132763;132763;132763;132763;132763;132763;132763;132763;
3203000;"Powiat drawski";176424;176424;176424;176424;176424;176424;176424;176424;176424;176424;176424;176088;
3204000;"Powiat goleniowski";161553;161553;161553;161552;161548;161548;161548;161548;161548;161547;161547;161547;
3205000;"Powiat gryficki";101737;101737;101737;101737;101737;101737;102105;102105;102105;102110;102110;102110;
3206000;"Powiat gryfiński";186911;186911;186911;186911;186911;186911;186911;186911;186911;186908;186909;186909;
3207000;"Powiat kamieński";100344;100344;100344;100344;100344;100344;100716;100716;100716;100752;100752;100752;
3208000;"Powiat kołobrzeski";72466;72466;72466;72466;72466;72466;72466;72466;72466;72758;72758;72758;
3209000;"Powiat koszaliński";165346;165346;165346;165346;165346;165346;165346;165346;165346;165345;164622;164847;
3210000;"Powiat myśliborski";118240;118240;118240;118240;118240;118240;118240;118240;118240;118234;118234;118234;
3211000;"Powiat policki";66533;66533;66533;66533;66533;66533;66533;66533;66533;66447;66446;66446;
3212000;"Powiat pyrzycki";72600;72600;72600;72600;72600;72600;72600;72600;72600;72605;72605;72605;
3213000;"Powiat sławieński";104320;104320;104320;104320;104320;104320;104320;104320;104320;104317;104317;104317;
3214000;"Powiat stargardzki";151994;151994;151994;151994;151994;151994;151994;151994;151994;151995;151995;152331;
3215000;"Powiat szczecinecki";176542;176542;176542;176542;176542;176542;176542;176542;176542;176550;176551;176551;
3216000;"Powiat świdwiński";109306;109306;109306;109306;109306;109306;109306;109306;109306;109313;109313;109313;
3217000;"Powiat wałecki";141498;141498;141498;141498;141498;141498;141498;141498;141498;141512;141512;141512;
3218000;"Powiat łobeski";106513;106513;106513;106513;106513;106513;106513;106513;106513;106510;106510;106510;
3261000;"Powiat m. Koszalin";9834;9834;9834;9834;9834;9834;9834;9834;9834;9834;10557;10557;
3262000;"Powiat m. Szczecin";30055;30055;30055;30056;30060;30060;30060;30060;30060;30062;30062;30062;
3263000;"Powiat m. Świnoujście";19723;19723;19723;19723;19723;20207;20207;20207;20207;20211;20207;20207;
