"Kod";"Nazwa";"ogółem;1999;[ha]";"ogółem;2000;[ha]";"ogółem;2001;[ha]";"ogółem;2002;[ha]";"ogółem;2003;[ha]";"ogółem;2004;[ha]";"ogółem;2005;[ha]";"ogółem;2006;[ha]";"ogółem;2007;[ha]";"ogółem;2008;[ha]";"ogółem;2009;[ha]";"ogółem;2010;[ha]";"ogółem;2011;[ha]";"ogółem;2012;[ha]";"ogółem;2013;[ha]";"ogółem;2014;[ha]";"ogółem;2015;[ha]";"ogółem;2016;[ha]";"ogółem;2017;[ha]";"ogółem;2018;[ha]";"ogółem;2019;[ha]";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem;2023;[ha]";"ogółem;2024;[ha]";
0264000;"Powiat m. Wrocław";;2210,6;2209,3;2219,6;2222,2;2226,4;2226,0;2236,9;2253,4;2162,2;2170,7;2182,1;2181,3;2211,9;2213,26;2225,69;2243,03;2262,44;2279,82;2279,82;2280,45;2286,36;2293,51;2339,52;2358,87;2357,19;
0265000;"Powiat m. Wałbrzych od 2013";;;;;;;;;;;;;;;2642,02;2661,71;2665,99;2669,53;2669,53;2670,12;2668,31;2669,17;2669,71;2670,32;2673,98;2685,42;
0401000;"Powiat aleksandrowski";;3435,8;3464,9;3549,0;3551,1;3551,1;3563,4;3579,8;3506,9;3493,0;3503,6;3521,6;3544,0;3539,6;3567,52;3566,51;3595,17;3597,67;3597,29;3598,57;3597,20;3568,38;3573,11;3574,20;3574,10;3566,80;
0402000;"Powiat brodnicki";;21919,0;22519,0;22563,0;22558,1;22577,1;22650,9;22691,3;22730,1;22736,5;22742,5;23052,0;23066,7;23069,0;23095,66;23263,01;23274,07;23245,29;23253,82;23268,80;23061,61;23010,23;23027,78;22531,04;22574,64;22580,42;
0403000;"Powiat bydgoski";;57925,9;58223,6;58274,2;58249,1;58241,5;58173,8;58195,5;58189,8;58175,6;58323,9;58202,2;58340,8;58367,1;58350,29;58314,88;58356,51;58386,21;58348,03;58176,07;58179,76;58173,04;58142,93;58153,88;58133,19;58132,34;
0404000;"Powiat chełmiński";;3654,0;3642,6;3637,1;3616,1;3621,6;3614,8;3622,9;3630,1;3630,7;3641,8;3641,5;3638,7;3645,0;3644,49;3648,99;3655,15;3660,09;3659,12;3661,17;3661,42;3657,83;3661,42;3662,13;3668,93;3672,07;
0405000;"Powiat golubsko-dobrzyński";;12146,0;12227,3;12222,5;12150,9;12298,2;12321,1;12346,5;12369,9;12386,6;12400,7;12410,9;12411,9;12422,0;12508,94;12433,71;12438,17;12428,44;12428,19;12428,18;12428,42;12428,31;12393,79;12354,71;12354,56;12366,24;
0406000;"Powiat grudziądzki";;10406,0;10550,2;10553,6;10521,7;10472,9;10510,5;10583,5;10641,5;10702,7;10686,8;10687,1;10697,9;10696,9;10702,71;10701,92;10710,08;10714,51;10716,08;10733,54;10809,64;10771,68;10783,52;10803,29;10782,97;10784,72;
0407000;"Powiat inowrocławski";;12510,5;12560,1;12731,5;12645,1;12598,9;12686,4;12688,0;12712,0;12708,7;12782,4;12780,7;12778,7;12777,3;12787,90;12832,37;12846,74;12849,52;12941,79;12906,26;13039,63;13048,61;13047,25;13049,07;13052,61;13066,06;
0408000;"Powiat lipnowski";;21397,4;22237,4;22317,7;22455,0;22455,9;22499,3;22520,3;22838,5;22908,3;22939,8;22939,1;23065,5;23074,2;23132,85;23154,77;23158,33;23259,70;23381,63;23425,69;23648,87;23766,55;23858,86;23923,88;23949,48;23971,94;
0409000;"Powiat mogileński";;10880,3;10881,7;10889,8;10886,2;10898,4;10972,2;11071,1;11083,9;11095,3;11104,3;11106,1;11146,2;11161,4;11177,03;11219,03;11225,88;11232,91;11286,95;11304,55;11313,30;11348,19;11359,32;11365,76;11379,00;11363,05;
0410000;"Powiat nakielski";;26018,2;26163,3;26195,9;26398,2;26295,8;26311,9;26139,1;26215,2;26328,0;26386,2;26385,0;26375,0;26393,5;26358,04;26368,67;26390,23;26377,73;26367,59;26387,87;26385,03;26381,70;26389,12;26391,87;26405,37;26457,27;
0411000;"Powiat radziejowski";;2653,6;2763,5;2807,5;2816,6;2832,0;2841,6;2866,0;2870,0;2866,0;2908,8;2907,3;2952,9;3065,3;3066,75;3070,97;3009,89;3012,22;3021,38;3048,29;3059,97;3058,88;3047,63;3062,86;3079,57;3082,55;
0412000;"Powiat rypiński";;10985,7;11287,3;11295,0;11294,8;11308,3;11413,7;11445,4;11451,8;11595,2;11583,6;11848,2;11969,2;11970,3;11967,70;11975,35;11973,97;11973,77;11973,46;11974,56;11935,70;11963,50;11836,19;11844,33;11910,26;11920,91;
0413000;"Powiat sępoleński";;18722,5;18798,7;18946,8;19051,9;19234,5;19464,7;19567,3;19582,2;19581,5;19687,7;19667,2;19657,5;19814,3;19824,70;19848,37;19900,06;19984,24;19976,51;19972,97;19977,09;19985,58;19985,59;19987,24;19992,31;19991,29;
0414000;"Powiat świecki";;53191,7;53245,2;53359,0;53435,6;53499,8;53518,5;53562,7;53700,7;53718,5;53805,9;53832,6;53824,5;53835,9;53822,76;53900,68;53913,14;53942,24;53892,99;53881,41;53844,10;53854,13;53857,53;53872,66;53867,72;53871,63;
0415000;"Powiat toruński";;36081,7;36133,2;42603,8;42699,8;42841,5;42879,2;42916,6;42958,2;42865,7;42877,4;42809,3;42816,8;42826,3;42773,91;42596,60;42556,82;42548,61;42557,19;42561,24;42560,87;42536,24;42554,45;42641,06;42518,26;42523,76;
0416000;"Powiat tucholski";;52927,4;52937,5;53059,8;53125,3;53103,8;53142,8;53173,9;53452,9;53425,3;53423,6;53495,9;53431,5;53438,1;53510,12;53490,77;53496,16;53515,67;53553,73;53591,98;53609,87;53589,92;53587,40;53627,34;53642,02;53681,87;
0417000;"Powiat wąbrzeski";;3850,5;3870,9;3871,9;3915,4;3972,7;3969,1;4030,5;4106,8;4184,5;4185,5;4209,5;4215,3;4239,2;4245,17;4247,26;4259,38;4259,92;4259,92;4278,14;4278,15;4278,15;4280,02;4287,44;4287,95;4288,11;
0418000;"Powiat włocławski";;26945,3;27225,5;27261,1;27293,9;27348,4;27402,7;27411,8;27408,4;27405,0;27561,7;27825,2;27845,2;27918,2;27961,34;27949,40;27986,16;28176,00;28177,96;28194,29;28210,34;28329,08;27918,34;27968,13;27977,30;28000,66;
0419000;"Powiat żniński";;16679,1;16784,6;16781,5;16719,8;16729,5;16781,9;16954,3;16981,3;16977,9;16986,0;17029,4;17077,2;17328,9;17332,08;17335,52;17360,52;17357,33;17334,68;17357,67;17357,98;17325,79;17292,83;17347,80;17348,13;17352,59;
0461000;"Powiat m. Bydgoszcz";;4981,9;5075,2;5076,3;5088,9;5109,3;4837,9;5018,4;5015,9;4966,1;4900,1;5065,6;5065,4;5066,1;5010,84;5023,08;4992,71;4989,12;5009,67;5020,28;5015,77;5003,45;4995,37;4980,40;4978,84;4934,01;
0462000;"Powiat m. Grudziądz";;1165,2;1165,1;1166,3;1167,1;1168,1;1147,9;1178,0;1178,1;1173,2;1178,2;1175,3;1174,4;1174,4;1169,14;1169,14;1168,97;1115,79;1113,54;1113,56;1100,52;1114,02;1116,17;1117,82;1117,78;1116,12;
0463000;"Powiat m. Toruń";;2667,8;2683,3;2690,2;2813,1;2813,9;2816,6;2821,1;2836,1;2836,1;2840,4;2846,9;2846,6;2837,0;2838,38;2841,19;2840,37;2845,98;2845,36;2884,86;2921,75;2921,52;2921,46;2919,54;2920,40;2952,23;
0464000;"Powiat m. Włocławek";;2073,9;2072,8;2065,1;2131,6;2133,8;2137,5;2140,0;2141,7;2137,1;2135,3;2146,1;2135,7;2135,5;2134,65;2135,01;2139,26;2138,87;2139,48;2139,71;2124,37;2124,34;2195,52;2184,33;2184,14;2184,14;
0601000;"Powiat bialski";;70198,5;71109,4;71612,3;71763,7;71685,5;72100,7;72419,3;72530,6;72398,8;73438,1;74875,7;75520,2;75670,7;75566,41;76049,01;76182,03;76644,99;76332,72;76807,87;76840,21;76892,70;76892,41;77720,03;78172,62;78427,06;
