Kod;Nazwa;Rzeczywiste_2024;Prognoza_WG_2024;Roznica
807000;Sulęciński;108137.0;90997;-17140.0
808000;Świebodziński;236988.0;201703;-35285.0
809000;Zielonogórski;50377.0;52265;1888.0
810000;Żagański;20844.0;15635;-5209.0
811000;Żarski;69580.0;44333;-25247.0
812000;Wschowski;111996.0;97217;-14779.0
861000;M. Gorzów Wielkopolski;109800.0;102590;-7210.0
862000;M. Zielona Góra;135549.0;134546;-1003.0
1001000;Bełchatowski;100161.0;95334;-4827.0
1002000;Kutnowski;38602.0;36219;-2383.0
1003000;Łaski;36349.0;30349;-6000.0
1004000;Łęczycki;0.0;3627;3627.0
1005000;Łowicki;33131.0;34668;1537.0
1006000;Łódzki Wschodni;33216.0;32080;-1136.0
1007000;Opoczyński;14710.0;12463;-2247.0
1008000;Pabianicki;140602.0;142496;1894.0
1009000;Pajęczański;27608.0;24897;-2711.0
1010000;Piotrkowski;109880.0;124970;15090.0
1011000;Poddębicki;195536.0;199058;3522.0
1012000;Radomszczański;49631.0;45468;-4163.0
1013000;Rawski;47587.0;35622;-11965.0
1014000;Sieradzki;60846.0;81448;20602.0
1015000;Skierniewicki;5327.0;5697;370.0
1016000;Tomaszowski;212951.0;205253;-7698.0
1017000;Wieluński;67733.0;82383;14650.0
1018000;Wieruszowski;21281.0;10129;-11152.0
1019000;Zduńskowolski;27061.0;27585;524.0
1020000;Zgierski;95987.0;114529;18542.0
1021000;Brzeziński;20659.0;15351;-5308.0
1061000;M. Łódź;1134329.0;1073877;-60452.0
1062000;M. Piotrków Trybunalski;60386.0;44225;-16161.0
1063000;M. Skierniewice;0.0;5546;5546.0
1201000;Bocheński;97026.0;89314;-7712.0
1202000;Brzeski;54131.0;19558;-34573.0
1203000;Chrzanowski;5991.0;13818;7827.0
1204000;Dąbrowski;6318.0;1543;-4775.0
1205000;Gorlicki;273480.0;221477;-52003.0
1206000;Krakowski;342301.0;369910;27609.0
1207000;Limanowski;95583.0;100417;4834.0
1208000;Miechowski;68621.0;57063;-11558.0
1209000;Myślenicki;80237.0;80902;665.0
1210000;Nowosądecki;2111224.0;2156376;45152.0
1211000;Nowotarski;1063673.0;1207709;144036.0
1212000;Olkuski;32996.0;38510;5514.0
1213000;Oświęcimski;295538.0;254548;-40990.0
1214000;Proszowicki;9377.0;5370;-4007.0
1215000;Suski;196006.0;209635;13629.0
1216000;Tarnowski;59318.0;73263;13945.0
1217000;Tatrzański;3657752.0;3691151;33399.0
1218000;Wadowicki;215337.0;233598;18261.0
1219000;Wielicki;195196.0;205930;10734.0
1261000;M. Kraków;6526485.0;6609104;82619.0
1262000;M. Nowy Sącz;49140.0;50448;1308.0
1263000;M. Tarnów;70692.0;81514;10822.0
1401000;Białobrzeski;19466.0;13393;-6073.0
1402000;Ciechanowski;46628.0;43551;-3077.0
1403000;Garwoliński;116347.0;105671;-10676.0
1404000;Gostyniński;23171.0;9183;-13988.0
1405000;Grodziski;103430.0;82727;-20703.0
1406000;Grójecki;129174.0;100352;-28822.0
1407000;Kozienicki;58953.0;42689;-16264.0
1408000;Legionowski;356224.0;387535;31311.0
1409000;Lipski;0.0;2166;2166.0
1410000;Łosicki;8854.0;19920;11066.0
1411000;Makowski;15906.0;9574;-6332.0
1412000;Miński;40178.0;44248;4070.0
1413000;Mławski;10721.0;4125;-6596.0
1414000;Nowodworski;85128.0;88074;2946.0
1415000;Ostrołęcki;17658.0;9708;-7950.0
1416000;Ostrowski;0.0;10288;10288.0
1417000;Otwocki;138289.0;113703;-24586.0
1418000;Piaseczyński;227602.0;226810;-792.0
1419000;Płocki;29295.0;30997;1702.0
1420000;Płoński;51029.0;43089;-7940.0
1421000;Pruszkowski;233242.0;213020;-20222.0
1422000;Przasnyski;0.0;2071;2071.0
1423000;Przysuski;39842.0;7162;-32680.0
1424000;Pułtuski;0.0;6521;6521.0
1425000;Radomski;35889.0;24009;-11880.0
1426000;Siedlecki;43990.0;39016;-4974.0
1427000;Sierpecki;40707.0;33534;-7173.0
1428000;Sochaczewski;59863.0;50482;-9381.0
1429000;Sokołowski;5048.0;5697;649.0
1430000;Szydłowiecki;60967.0;50233;-10734.0
1432000;Warszawski Zachodni;188063.0;180706;-7357.0
1433000;Węgrowski;139407.0;93793;-45614.0
1434000;Wołomiński;151855.0;134546;-17309.0
1435000;Wyszkowski;62793.0;72732;9939.0
1436000;Zwoleński;0.0;2761;2761.0
1437000;Żuromiński;0.0;2166;2166.0
1438000;Żyrardowski;171035.0;121729;-49306.0
1461000;M. Ostrołęka;11317.0;13710;2393.0
1462000;M. Płock;82629.0;96614;13985.0
1463000;M. Radom;160220.0;153931;-6289.0
1464000;M. Siedlce;116389.0;116068;-321.0
1465000;M. St. Warszawa;8021740.0;6900539;-1121201.0
1601000;Brzeski;36053.0;24314;-11739.0
1602000;Głubczycki;13310.0;7697;-5613.0
1603000;Kędzierzyńsko-Kozielski;60170.0;52493;-7677.0
1604000;Kluczborski;24449.0;18328;-6121.0
1605000;Krapkowicki;33305.0;37618;4313.0
1606000;Namysłowski;35509.0;31212;-4297.0
1607000;Nyski;201246.0;211775;10529.0
1608000;Oleski;23992.0;20279;-3713.0
1609000;Opolski;56948.0;45468;-11480.0
1610000;Prudnicki;32052.0;23366;-8686.0
1611000;Strzelecki;58563.0;43151;-15412.0
1661000;M. Opole;196601.0;180729;-15872.0
1801000;Bieszczadzki;310266.0;287630;-22636.0
1802000;Brzozowski;12130.0;12528;398.0
1803000;Dębicki;72036.0;73263;1227.0
1804000;Jarosławski;156339.0;146019;-10320.0
1805000;Jasielski;13625.0;19582;5957.0
1806000;Kolbuszowski;0.0;2361;2361.0
1807000;Krośnieński;521052.0;540716;19664.0
1808000;Leżajski;16522.0;17942;1420.0
1809000;Lubaczowski;228797.0;216878;-11919.0
1810000;Łańcucki;54804.0;62264;7460.0
1811000;Mielecki;60139.0;68693;8554.0
1812000;Niżański;14404.0;13578;-826.0
1813000;Przemyski;44054.0;39092;-4962.0
1814000;Przeworski;13061.0;12957;-104.0
1815000;Ropczycko-Sędziszowski;52036.0;57259;5223.0
1816000;Rzeszowski;198334.0;234453;36119.0
1817000;Sanocki;78580.0;71453;-7127.0
1818000;Stalowowolski;113940.0;92268;-21672.0
1819000;Strzyżowski;0.0;16841;16841.0
1820000;Tarnobrzeski;42643.0;42372;-271.0
1821000;Leski;912241.0;944092;31851.0
1861000;M. Krosno;45798.0;52203;6405.0
1862000;M. Przemyśl;86776.0;102170;15394.0
1863000;M. Rzeszów;446908.0;548576;101668.0
1864000;M. Tarnobrzeg;34069.0;36241;2172.0
2001000;Augustowski;238651.0;243675;5024.0
2002000;Białostocki;80507.0;92099;11592.0
2003000;Bielski;0.0;18524;18524.0
2004000;Grajewski;21483.0;16999;-4484.0
2005000;Hajnowski;132268.0;103182;-29086.0
2006000;Kolneński;0.0;2166;2166.0
2007000;Łomżyński;30107.0;26445;-3662.0
2008000;Moniecki;21115.0;15527;-5588.0
2009000;Sejneński;33870.0;36501;2631.0
2010000;Siemiatycki;70629.0;56490;-14139.0
2011000;Sokólski;20757.0;8738;-12019.0
2012000;Suwalski;52187.0;51877;-310.0
2013000;Wysokomazowiecki;14626.0;13884;-742.0
2014000;Zambrowski;5922.0;3381;-2541.0
2061000;M. Białystok;389379.0;376159;-13220.0
2062000;M. Łomża;54423.0;54171;-252.0
2063000;M. Suwałki;83822.0;89985;6163.0
2201000;Bytowski;72377.0;72358;-19.0
2202000;Chojnicki;135245.0;149927;14682.0
2203000;Człuchowski;123348.0;105193;-18155.0
